iter	Passed	Remaining
0	13	26185
1	26	26311
2	39	26254
3	53	26931
4	67	26814
5	80	26619
6	92	26460
7	105	26336
8	118	26286
9	131	26258
10	145	26240
11	157	26158
12	170	26097
13	183	26092
14	197	26081
15	209	26035
16	222	26010
17	236	26008
18	249	25972
19	261	25921
20	274	25912
21	288	25894
22	301	25926
23	314	25885
24	327	25834
25	339	25786
26	352	25752
27	365	25716
28	377	25660
29	390	25642
30	403	25643
31	416	25632
32	429	25588
33	441	25543
34	453	25485
35	466	25461
36	479	25432
37	492	25412
38	504	25390
39	517	25370
40	530	25332
41	542	25308
42	555	25284
43	568	25259
44	580	25236
45	593	25202
46	605	25178
47	618	25154
48	631	25129
49	644	25119
50	656	25099
51	669	25070
52	681	25048
53	694	25032
54	707	25013
55	719	24987
56	732	24974
57	745	24948
58	758	24940
59	770	24919
60	783	24912
61	797	24924
62	810	24909
63	823	24898
64	835	24884
65	849	24895
66	862	24897
67	876	24891
68	889	24887
69	902	24883
70	915	24864
71	927	24849
72	940	24832
73	953	24816
74	966	24803
75	979	24789
76	992	24774
77	1005	24764
78	1017	24744
79	1030	24729
80	1043	24710
81	1055	24697
82	1068	24684
83	1081	24674
84	1094	24658
85	1107	24641
86	1119	24617
87	1132	24601
88	1144	24585
89	1157	24567
90	1170	24546
91	1182	24527
92	1195	24510
93	1207	24490
94	1220	24472
95	1233	24458
96	1245	24442
97	1258	24422
98	1270	24402
99	1283	24379
100	1296	24376
101	1309	24365
102	1322	24353
103	1335	24340
104	1347	24324
105	1360	24309
106	1373	24291
107	1385	24277
108	1399	24271
109	1411	24257
110	1424	24247
111	1437	24239
112	1450	24227
113	1463	24214
114	1476	24203
115	1489	24188
116	1502	24173
117	1514	24162
118	1527	24147
119	1540	24133
120	1552	24114
121	1565	24098
122	1578	24083
123	1591	24071
124	1603	24053
125	1616	24038
126	1628	24023
127	1641	24010
128	1654	23998
129	1667	23988
130	1680	23975
131	1693	23966
132	1706	23952
133	1719	23938
134	1731	23923
135	1744	23911
136	1757	23903
137	1770	23891
138	1783	23878
139	1796	23871
140	1809	23858
141	1822	23841
142	1834	23825
143	1847	23812
144	1860	23796
145	1872	23782
146	1885	23765
147	1897	23748
148	1910	23733
149	1923	23717
150	1935	23702
151	1948	23684
152	1961	23673
153	1973	23661
154	1986	23649
155	1999	23636
156	2012	23622
157	2025	23610
158	2037	23593
159	2050	23576
160	2062	23563
161	2075	23548
162	2088	23533
163	2100	23519
164	2113	23506
